Frequency, Aproximate Re, Aproximate Im, Analytical Re, Analytical Im, Wave Number, Radial distance, Percent abs(z) error
0.000209585,(1.65637e-07,-2.08257e-08),(-5.01255e-05,-8.653e-05),0.000209585,10000,1.00065
0.000251501,(1.45855e-06,-9.51058e-08),(-8.10038e-05,-5.86377e-05),0.000251501,10000,1.0113
0.000293418,(-1.80395e-06,2.48065e-08),(-9.78568e-05,-2.05926e-05),0.000293418,10000,0.982406
0.000335335,(1.63698e-08,7.55147e-08),(-9.77663e-05,2.1018e-05),0.000335335,10000,1
0.000377252,(1.88143e-06,-1.98211e-08),(-8.0748e-05,5.89895e-05),0.000377252,10000,1.01537
0.000419169,(-2.06597e-06,-1.71581e-08),(-4.97487e-05,8.67472e-05),0.000419169,10000,0.990035
0.000461086,(-2.05516e-07,6.11344e-08),(-1.01356e-05,9.9485e-05),0.000461086,10000,0.999185
0.000503003,(2.267e-06,-5.1778e-07),(3.12325e-05,9.49975e-05),0.000503003,10000,0.998107
0.00054492,(-2.23394e-06,6.2877e-08),(6.71927e-05,7.40617e-05),0.00054492,10000,1.01469
0.000586837,(-4.82644e-07,2.63858e-07),(9.15189e-05,4.03025e-05),0.000586837,10000,1.00336
0.000628754,(2.62166e-06,-9.64861e-08),(9.99991e-05,-4.34974e-07),0.000628754,10000,0.97378
0.00067067,(-2.32417e-06,9.45202e-08),(9.11648e-05,-4.10971e-05),0.00067067,10000,1.02161
0.000712587,(-8.03745e-07,8.35013e-08),(6.65459e-05,-7.46434e-05),0.000712587,10000,1.00599
0.000754504,(2.94577e-06,-4.51227e-07),(3.04049e-05,-9.52657e-05),0.000754504,10000,0.987106
0.000796421,(-2.34543e-06,3.01511e-07),(-1.10006e-05,-9.93931e-05),0.000796421,10000,1.0007
0.000838338,(-1.16003e-06,2.4983e-07),(-5.05014e-05,-8.63111e-05),0.000838338,10000,0.996362
0.000880255,(3.23744e-06,-8.25781e-08),(-8.12581e-05,-5.82848e-05),0.000880255,10000,1.02601
0.000922172,(-2.30337e-06,2.35325e-07),(-9.79454e-05,-2.01667e-05),0.000922172,10000,0.977939
0.000964089,(-1.54391e-06,3.32395e-07),(-9.76739e-05,2.14431e-05),0.000964089,10000,0.984207
0.00100601,(3.49395e-06,-2.38399e-06),(-8.04907e-05,5.93401e-05),0.00100601,10000,1.04227
0.00104792,(-2.20224e-06,3.20593e-07),(-4.93709e-05,8.69627e-05),0.00104792,10000,0.986496
0.00108984,(-1.94843e-06,6.03027e-07),(-9.70273e-06,9.95282e-05),0.00108984,10000,0.992286
0.00113176,(3.71228e-06,-1.0646e-07),(3.16454e-05,9.48608e-05),0.00113176,10000,0.989901
0.00117367,(-2.04571e-06,4.82755e-07),(6.75142e-05,7.37687e-05),0.00117367,10000,1.01042
0.00121559,(-2.36701e-06,-4.2554e-07),(9.16934e-05,3.9904e-05),0.00121559,10000,1.02342
0.00125751,(3.88946e-06,-1.07838e-06),(9.99962e-05,-8.69941e-07),0.00125751,10000,0.96107
0.00129942,(-1.83725e-06,5.79727e-07),(9.09852e-05,-4.14932e-05),0.00129942,10000,1.01912
0.00134134,(-2.79334e-06,6.99571e-07),(6.62206e-05,-7.49322e-05),0.00134134,10000,1.02387
0.00138326,(4.02273e-06,2.96423e-08),(2.99902e-05,-9.5397e-05),0.00138326,10000,0.988967
0.00142517,(-1.58039e-06,6.78862e-07),(-1.14329e-05,-9.93443e-05),0.00142517,10000,1.00507
0.00146709,(-3.22126e-06,7.03688e-07),(-5.08764e-05,-8.60906e-05),0.00146709,10000,0.990165
0.00150901,(4.10961e-06,-2.63208e-06),(-8.15109e-05,-5.79308e-05),0.00150901,10000,1.01926
0.00155093,(-1.2788e-06,1.00532e-06),(-9.80322e-05,-1.97405e-05),0.00155093,10000,0.989526
0.00159284,(-3.64483e-06,2.16255e-06),(-9.75797e-05,2.18677e-05),0.00159284,10000,0.959795
0.00163476,(4.14803e-06,-1.68393e-06),(-8.02318e-05,5.96897e-05),0.00163476,10000,1.04339
0.00167668,(-9.36375e-07,4.84085e-07),(-4.89921e-05,8.71767e-05),0.00167668,10000,0.991209
0.00171859,(-4.05824e-06,5.43341e-08),(-9.26971e-06,9.95694e-05),0.00171859,10000,0.996515
0.00176051,(4.13632e-06,-1.96985e-06),(3.20577e-05,9.47222e-05),0.00176051,10000,1.00643
0.00180243,(-5.57289e-07,1.07988e-06),(6.78345e-05,7.34744e-05),0.00180243,10000,0.995911
0.00184434,(-4.45591e-06,7.42457e-07),(9.18661e-05,3.95048e-05),0.00184434,10000,1.03829
0.00188626,(4.0733e-06,-3.03287e-07),(9.99915e-05,-1.30489e-06),0.00188626,10000,0.959234
0.00192818,(-1.45962e-07,1.23383e-06),(9.08039e-05,-4.18886e-05),0.00192818,10000,1.00655
0.00197009,(-4.83244e-06,1.00692e-06),(6.5894e-05,-7.52195e-05),0.00197009,10000,1.03984
0.00201201,(4.0837e-06,-1.03064e-05),(2.9575e-05,-9.55266e-05),0.00201201,10000,0.88951
0.00205393,(2.92358e-05,1.1752e-06),(-1.18649e-05,-9.92936e-05),0.00205393,10000,1.08551
0.00209585,(1.69217e-05,6.56999e-07),(-5.12504e-05,-8.58685e-05),0.00209585,10000,1.10155
